date,equity
2023-12-19,150000.0
2023-12-20,150000.0
2023-12-21,150000.0
2023-12-22,150000.0
2023-12-25,150000.0
2023-12-26,150000.0
2023-12-27,150000.0
2023-12-28,150000.0
2023-12-29,150000.0
2024-01-01,150000.0
2024-01-02,149874.768205
2024-01-03,150187.88820500002
2024-01-04,149002.25820500002
2024-01-05,147917.488205
2024-01-08,147019.148205
2024-01-09,146931.45518613
2024-01-10,147330.69518613
2024-01-11,147420.59518613003
2024-01-12,147606.41518613
2024-01-15,147710.84518613
2024-01-16,148358.19518613
2024-01-17,149338.39891419
2024-01-18,151081.10891419
2024-01-19,149317.36891419
2024-01-22,148788.67891419
2024-01-23,149167.26891419
2024-01-24,149536.95891419
2024-01-25,149529.58891419
2024-01-26,149782.47601024
2024-01-29,149965.61601024002
2024-01-30,149517.42601024001
2024-01-31,151634.48601024
2024-02-01,152426.61601024002
2024-02-02,150703.34601024003
2024-02-05,149112.45142494002
2024-02-06,149278.10142494
2024-02-07,149905.76142494002
2024-02-08,151357.64142494003
2024-02-09,150938.70142494
2024-02-12,151253.11142494
2024-02-13,152857.48142494
2024-02-14,154733.87142494
2024-02-15,155322.45142494
2024-02-16,155716.91142494002
2024-02-19,156589.98142494
2024-02-20,157066.69142494
2024-02-21,157435.88142494002
2024-02-22,157127.48142494
2024-02-23,157080.98142494
2024-02-26,158809.43142494
2024-02-27,159203.76142494002
2024-02-28,160477.89859494002
2024-02-29,163036.38859494
2024-03-01,161248.21859494
2024-03-04,160421.77859494
2024-03-05,159960.18348944
2024-03-06,161428.59348943998
2024-03-07,163935.08348944003
2024-03-08,164066.43348944
2024-03-11,163511.25348944002
2024-03-12,163109.62348944
2024-03-13,165257.60348944
2024-03-14,165860.06348944
2024-03-15,166353.87348944
2024-03-18,166843.93177044002
2024-03-19,166308.69177044003
2024-03-20,165955.90177044005
2024-03-21,165383.64177044004
2024-03-22,164307.45177044004
2024-03-25,163787.52725084004
2024-03-26,164548.50725084002
2024-03-27,164773.98725084003
2024-03-28,163539.91725084002
2024-03-29,161997.01725084003
2024-04-01,161754.50903609002
2024-04-02,160988.52903609004
2024-04-03,161832.93903609004
2024-04-04,162028.93903609004
2024-04-05,162002.86618309005
2024-04-08,161905.49618309003
2024-04-09,162432.92618309002
2024-04-10,162121.16618309007
2024-04-11,160860.37618309003
2024-04-12,160721.60618309004
2024-04-15,162372.70618309005
2024-04-16,162876.12618309003
2024-04-17,161555.09618309006
2024-04-18,161685.15618309006
2024-04-19,161129.81637530003
2024-04-22,161298.66637530003
2024-04-23,161673.49637530005
2024-04-24,161644.91637530003
2024-04-25,162562.73637530004
2024-04-26,163873.55637530005
2024-04-29,165479.19571830003
2024-04-30,166986.74571830002
2024-05-01,166611.43571830002
2024-05-02,168329.25571830003
2024-05-03,170253.80571830002
2024-05-06,169694.23571830004
2024-05-07,170146.75571830003
2024-05-08,169584.71571830005
2024-05-09,168721.15571830003
2024-05-10,168332.71290940006
2024-05-13,168681.12197940005
2024-05-14,168014.25805320006
2024-05-15,170008.14805320004
2024-05-16,170800.71805320005
2024-05-17,170999.55805320005
2024-05-20,169492.81805320006
2024-05-21,168922.61805320004
2024-05-22,168111.08805320004
2024-05-23,167384.10398670004
2024-05-24,168739.08398670005
2024-05-27,170905.84398670006
2024-05-28,171727.14398670007
2024-05-29,171632.82398670004
2024-05-30,171505.20398670004
2024-05-31,172155.48398670007
2024-06-03,173516.76398670004
2024-06-04,173751.26398670007
2024-06-05,173730.19398670006
2024-06-06,173920.17398670004
2024-06-07,174908.88441470003
2024-06-10,177391.21441470005
2024-06-11,178459.33441470005
2024-06-12,178533.23441470007
2024-06-13,178768.25441470003
2024-06-14,178435.19441470003
2024-06-17,177786.62441470005
2024-06-18,177659.27441470005
2024-06-19,178132.47441470006
2024-06-20,178669.41441470006
2024-06-21,177884.89174770005
2024-06-24,177242.46565725005
2024-06-25,176913.61565725005
2024-06-26,176463.83565725008
2024-06-27,177412.98565725004
2024-06-28,178056.90565725006
2024-07-01,177704.17565725005
2024-07-02,177915.76565725007
2024-07-03,178731.63565725007
2024-07-04,178667.48680825005
2024-07-05,180870.20680825005
2024-07-08,182720.35680825004
