stock_code,trades,win_rate_pct,avg_return_pct,total_pnl
600519,9,77.78,3.56,11865.21
000858,3,66.67,8.26,17244.74
000568,6,66.67,5.51,23330.12
002304,9,55.56,4.65,14103.33
000596,10,40.0,-0.26,-469.9
603369,7,14.29,-3.09,-24415.18
603198,10,70.0,7.62,27398.46
601318,7,28.57,-1.86,-7793.21
601601,5,60.0,12.57,34819.89
601628,6,66.67,4.17,6593.08
600036,11,45.45,2.0,7250.83
601166,7,57.14,3.21,25872.97
000001,11,45.45,2.0,7250.83
601288,8,62.5,0.54,1588.44
601398,7,71.43,5.96,15883.11
601939,5,60.0,5.14,37294.67
601328,9,66.67,2.62,5241.19
600016,9,66.67,2.62,5241.19
002142,5,40.0,5.43,10018.51
600030,8,62.5,1.84,4672.53
601688,9,66.67,1.13,4723.59
000776,4,25.0,-3.59,-3668.54
600837,8,25.0,-2.29,-7124.53
601995,3,100.0,10.75,33581.79
000166,3,66.67,2.19,2239.73
601211,7,42.86,-1.93,-5052.87
601881,7,28.57,-0.6,-6816.63
601878,10,70.0,4.92,16785.79
002594,10,50.0,2.71,8395.76
600900,8,62.5,4.26,23836.04
601012,5,40.0,-1.16,-2428.92
601877,4,50.0,0.53,853.24
002460,6,66.67,2.06,8030.87
000100,9,66.67,4.32,13691.79
601238,6,50.0,0.38,3239.57
600104,8,62.5,3.83,10719.22
002475,7,85.71,9.55,38337.53
603799,9,55.56,4.65,41847.15
002074,7,28.57,-2.99,-12654.98
600438,7,71.43,3.02,7900.55
601615,6,33.33,-1.35,-3710.9
600261,4,50.0,2.95,8545.27
002415,5,60.0,-1.71,-2077.28
000725,7,42.86,-0.29,-314.37
600703,2,50.0,5.23,2158.61
000063,2,50.0,5.23,2158.61
601138,5,40.0,-3.32,-6527.37
000977,8,62.5,3.43,20447.87
002236,6,83.33,3.24,5152.63
002049,7,57.14,0.88,2245.77
002230,7,57.14,1.31,11047.01
600588,9,55.56,-0.24,-1249.89
600570,7,28.57,-0.42,-1080.19
600271,5,40.0,-1.39,-2852.49
600487,7,85.71,6.51,20759.14
600941,4,25.0,0.9,-713.89
601728,2,50.0,7.99,4663.42
600050,9,77.78,2.32,2643.81
002352,6,66.67,1.12,6668.29
600276,10,50.0,1.33,3484.82
600196,4,75.0,3.53,3928.45
000538,6,33.33,0.93,3033.83
600085,8,12.5,-2.93,-9977.22
000963,8,87.5,4.45,10649.56
002007,4,25.0,0.75,1393.82
600436,9,66.67,0.04,-57.89
603259,4,75.0,8.19,13464.36
600867,7,42.86,0.31,-126.15
002022,3,66.67,10.02,31351.51
600332,6,50.0,3.85,7780.14
002317,6,50.0,1.73,2948.17
000999,5,40.0,-0.94,-4809.65
600079,9,77.78,1.75,4257.13
601668,11,54.55,2.14,15493.1
600031,10,60.0,3.64,16089.82
601088,5,40.0,0.63,2223.78
600019,5,40.0,0.63,2223.78
601800,10,50.0,6.89,41775.88
601390,6,66.67,6.03,15155.12
601186,9,44.44,-1.25,-3444.91
601766,7,42.86,2.43,26993.42
002008,8,37.5,4.0,11143.61
000157,3,66.67,8.41,9563.82
600010,8,75.0,7.34,34720.27
000002,11,72.73,1.66,7992.4
601006,10,70.0,1.29,3357.79
601888,12,83.33,4.66,40920.01
600009,9,55.56,7.57,30732.52
600887,10,80.0,12.25,141552.82
000895,10,80.0,12.25,141552.82
603288,4,25.0,-4.41,-6462.52
600690,8,50.0,2.24,9653.44
000651,4,25.0,0.58,3007.13
600600,6,66.67,7.09,15719.3
603605,5,40.0,4.03,14529.05
601933,5,100.0,9.58,18045.38
002216,4,0.0,-5.61,-6879.0
002714,6,33.33,-0.73,-3247.51
600115,7,71.43,9.26,38402.99
601111,2,50.0,1.58,-97.89
600029,11,45.45,2.85,26670.38
000728,10,50.0,4.46,14908.3
601985,5,80.0,4.49,7834.0
600025,5,80.0,7.22,12731.36
600011,6,50.0,1.18,8741.37
600795,4,0.0,-7.37,-8132.12
601669,5,60.0,4.08,6407.04
600023,7,14.29,-2.93,-9119.12
601899,5,80.0,5.56,15961.79
600547,6,66.67,2.41,4767.36
600362,8,50.0,0.04,-1579.96
000630,6,83.33,2.25,3947.62
601600,5,20.0,-3.57,-11736.93
600188,6,66.67,2.55,7111.07
601225,6,66.67,2.55,7111.07
601958,8,75.0,6.85,15145.29
002555,4,50.0,9.43,17622.68
002624,6,50.0,0.69,1602.64
600637,7,14.29,-2.2,-5648.17
601698,7,42.86,-1.7,-4726.73
