stock_code,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason,is_win
601800,2025-01-01,2025-01-10,881.8903,878.46595,100,-659.1279074999911,-0.007464331489984422,7,trail_stop,False
600436,2025-01-01,2025-01-30,56.9965,55.99547,700,-842.7405216999978,-0.021095189589440264,21,trail_stop,False
000776,2025-01-30,2025-02-05,285.5346,265.547178,100,-2096.937548940008,-0.07334365325077427,4,stop_loss,False
600025,2025-01-01,2025-02-12,184.0512,214.30461,100,2952.124283699999,0.16018865971772162,30,trail_stop,True
600079,2025-01-10,2025-02-21,229.8932,249.05,100,1828.5123840000015,0.07943420701763707,30,max_hold,True
601600,2025-02-05,2025-02-26,562.1797,577.630875,100,1339.1790377499929,0.02379026431006198,15,trail_stop,True
601615,2025-02-21,2025-03-05,337.2454,313.638222,100,-2476.6964930600043,-0.07334365325077412,8,stop_loss,False
601958,2025-02-12,2025-03-13,231.4281,255.10748999999998,100,2279.178624299995,0.09835536561460884,21,trail_stop,True
002304,2025-02-26,2025-03-31,621.5354,636.832025,100,1302.3915322500106,0.020927217040930184,23,trail_stop,True
600025,2025-03-13,2025-04-08,201.4945,228.210235,100,2592.890860950003,0.12851588897598387,18,trail_stop,True
600009,2025-04-08,2025-04-11,685.0433,668.8202,100,-1865.1942750000017,-0.02719204275887838,3,trail_stop,False
600029,2025-03-05,2025-04-16,529.1665,514.5397,100,-1649.815776000003,-0.03113715248527496,30,max_hold,False
000977,2025-04-11,2025-05-01,598.5837,586.687225,100,-1402.4014427500006,-0.023398243016904536,14,trail_stop,False
600025,2025-04-16,2025-05-08,236.5752,256.303635,100,1883.1388879499973,0.07949666684286849,16,trail_stop,True
601985,2025-03-31,2025-05-12,107.5029,113.9759,300,1821.330497999992,0.056400520122553775,30,max_hold,True
601328,2025-05-02,2025-06-11,249.0143,273.22171000000003,100,2325.528147699999,0.09326809288253753,28,trail_stop,True
600016,2025-05-12,2025-06-11,248.2097,273.22171000000003,100,2406.0927457,0.09681204586879591,22,trail_stop,True
601728,2025-05-09,2025-06-20,154.1682,185.3944,200,6119.8748439999945,0.19822276370429737,30,max_hold,True
000963,2025-06-24,2025-07-07,239.7775,251.09934499999997,100,1043.260575649998,0.04345303865971403,9,trail_stop,True
600011,2025-06-11,2025-07-23,1285.2494,1487.3277,100,19698.66220700003,0.15306824647144973,30,max_hold,True
601800,2025-07-23,2025-07-31,973.8059,905.6394869999999,100,-7151.533149010007,-0.07334365325077406,6,stop_loss,False
600029,2025-07-31,2025-08-05,577.4261,537.006273,100,-4240.5595357900165,-0.07334365325077427,3,stop_loss,False
000100,2025-07-07,2025-08-18,161.8462,200.5614,200,7608.7017439999945,0.2347544543444371,30,max_hold,True
002317,2025-08-18,2025-09-09,359.2042,356.9644,100,-352.77835799999593,-0.00980835807476564,16,trail_stop,False
601390,2025-07-30,2025-09-10,208.3726,264.1115,200,10972.111833999996,0.26293923978993305,30,max_hold,True
002594,2025-08-06,2025-09-17,270.5597,293.7016,100,2211.4658710000003,0.08163058644331508,30,max_hold,True
601006,2025-09-09,2025-10-14,228.3353,260.47271,100,3124.1486877000025,0.13664521286732412,25,trail_stop,True
600837,2025-09-10,2025-10-17,416.7279,449.901665,100,3159.724490050001,0.07572380397891339,27,trail_stop,True
600487,2025-09-18,2025-10-28,499.3077,524.16079,100,2299.8420172999977,0.04600081481548,28,trail_stop,True
600030,2025-10-17,2025-10-30,466.3394,433.69564199999996,100,-3424.749919660011,-0.07334365325077423,9,stop_loss,False
601668,2025-10-30,2025-11-13,768.7909,798.586055,100,2695.8978903499956,0.03502119722339036,10,trail_stop,True
002008,2025-10-28,2025-11-14,987.0403,917.9474789999999,100,-7248.725259169994,-0.07334365325077395,13,stop_loss,False
600703,2025-10-14,2025-11-25,243.597,296.0123,100,5141.779560999999,0.21080324987156385,30,max_hold,True
002624,2025-11-14,2025-12-08,116.0238,107.90213399999999,300,-2556.2015544599963,-0.0733436532507739,16,stop_loss,False
601006,2025-11-13,2025-12-12,274.2355,255.03901499999998,100,-2013.9580884500028,-0.0733436532507741,21,stop_loss,False
002594,2025-12-08,2025-12-29,324.2349,334.355635,100,893.0211669499986,0.02750665479500558,15,trail_stop,True
600085,2025-11-25,2025-12-31,478.5504,498.0982,100,1778.0058619999909,0.03710575636982208,26,end_of_backtest,True
601628,2025-12-12,2025-12-31,239.8261,273.9015,100,3313.365262000003,0.13797762126293525,13,end_of_backtest,True
002352,2025-12-31,2025-12-31,788.8859,788.8859,100,-283.99892399999953,-0.0035953260761010628,0,end_of_backtest,False
